A*
A
EI
463
DU FK 0
BQ CW 44
B EG 49
CM EN 50
L CY 14
FY J 77
BN CH 26
FJ BM 96
GE FT 20
CL BB 67
CX BW 46
M CQ 41
FN EZ 33
EI CN 2
J BI 39
CF CW 7
CZ U 87
CX P 16
EN U 63
DG ER 77
ED FQ 54
BT DU 28
CX X 69
ES I 74
EV X 4
L EC 31
EA FM 64
BD EM 21
W H 98
BM BQ 72
CN BK 77
FX CD 43
CU CM 52
GI DZ 89
DX FZ 0
DM DK 40
FN FD 8
FR GK 68
FS EZ 4
DZ DF 52
FQ FY 88
CO BT 69
W EB 49
CZ J 43
DW CF 48
FH EV 71
L GN 44
BF T 7
EI DX 80
DE DX 57
DF EQ 19
FM FF 2
BN FE 30
EK Z 18
BN FY 70
CX GE 38
CA EP 81
H GN 38
EU S 61
H BD 8
BO EA 71
BB BT 85
DW BD 90
EU FA 60
EJ EN 19
E FO 84
H BV 90
BP B 8
FG EX 89
BX BD 91
FW A 46
GM ET 24
BQ DG 94
CL D 32
BA BW 78
DN CE 48
EG DE 45
FG GB 94
FG ES 50
BX D 17
C CH 74
BM EG 29
DM ER 39
EA S 1
FY CA 27
M CO 74
EX CB 8
DE CF 6
FC EK 85
EP FA 6
DO EM 94
CS P 28
FE DX 42
CX L 54
L CX 20
BW FJ 1
FC CF 33
I DI 7
EA CO 42
DF M 17
BO C 0
M GI 68
DN DF 46
Y BX 13
EV CE 4
P FF 69
E CU 31
EY GA 88
EW CU 68
B BR 43
DS FZ 39
BP FN 57
BZ GF 93
DZ DM 33
J FU 83
I O 97
A FM 25
EA DK 69
FY FN 71
S DV 79
EI EN 47
CO FP 58
BV G 91
FQ DR 79
A BT 9
BR EN 37
DZ FF 64
CK R 35
ER BS 72
EA E 47
DE F 43
EX CC 43
BN BH 52
EY G 35
CI DF 73
GD I 98
GN EL 33
FN EY 12
GI CK 0
BH L 20
BN DB 46
FR DE 63
FC CI 55
CZ FN 70
DN BF 59
EY CT 76
CJ BZ 29
C FO 89
